id;acronym;business_code;hierarchical_level;name;description;business_handler_clazz;main_contact_person_details_json;technical_environments_details_json;custom_attributes_details_json;organization_status;activation_status;logo_img;logo_img_content_type;tenant_id;type_of_organization_id
1;sonnet atop;lock;hm masculinize oof;while psst;from fat but;upbeat;officially famously;environment smoothly romp;duh;UNDER_EVALUATION;INVALID;../fake-data/blob/hipster.png;image/png;1;1
2;opposite;cuisine versus;that blah;gah lest beanie;impolite failing;onto jagged icky;ack anenst circa;huzzah;among as;IN_FAILURE;PENDENT;../fake-data/blob/hipster.png;image/png;2;2
3;failing;fresh bleat mem;down improvement;yummy;fairly;mmm message zowie;pentagon;manoeuvre supposing;about;PENDENT;INACTIVE;../fake-data/blob/hipster.png;image/png;3;3
4;cripple remedy pace;linear;before psst playfully;boo;since excluding whereas;perfectly;even;next discrepancy if;throughout that;ONBOARDING;INVALID;../fake-data/blob/hipster.png;image/png;4;4
5;round;whose;great;multicolored outside;ability method;mid gosh;wearily chastity carefully;rotten once below;man and;PENDENT;INVALID;../fake-data/blob/hipster.png;image/png;5;5
6;nor finally;fooey hm almost;still;hm even astrologer;forenenst offensively;knowledgeably meh sandbag;instantly;meanwhile music-box towards;illiterate brain;ONBOARDING;ON_HOLD;../fake-data/blob/hipster.png;image/png;6;6
7;avaricious aggradati;autoimmunity po;interestingly haze;boo yellow;shoe-horn;above within usually;vineyard but;like drat;frizzy equal throughout;PENDENT;ON_HOLD;../fake-data/blob/hipster.png;image/png;7;7
8;extemporize roost ec;firm;greedily;oversleep;underneath;um;truthfully enthusiastically;when;meh before boohoo;READY_TO_START;BLOCKED;../fake-data/blob/hipster.png;image/png;8;8
9;fairly empower trian;extemporize;whether deter mobilize;all;but;brace yowza gah;duh barring;maize;wildly if monk;UNDER_EVALUATION;INVALID;../fake-data/blob/hipster.png;image/png;9;9
10;since;weaponize fierc;qua;hallucinate;upset lost jam-packed;meh;educated;straighten grey;reassuringly unethically;IN_FAILURE;INVALID;../fake-data/blob/hipster.png;image/png;10;10
