id;acronym;company_name;street_address;house_number;location_name;city;state_province;zip_postal_code;country_region;point_location;point_location_content_type;main_email;phone_number_1;phone_number_2;custom_attributes_details_json;activation_status;representative_person_id
1;fatally with;before;micromanage;properly second-hand;coaxingly gift merrily;Theodorechester;tee though immediate;worth;for truthfully extremely;../fake-data/blob/hipster.png;image/png;"4*5@~2L.ZB2k3A";unlike eek yaho;provided until ;ha;ACTIVE;1
2;straight knowledgeably;inactivate;disclose;crafty;outside gadzooks worn;Lake Garrisonstad;gee;oof wraparound;blue gadzooks;../fake-data/blob/hipster.png;image/png;"]=n]Z:@4).M";knowledgeable e;apropos against;commonly conscious shrill;INACTIVE;2
3;reamer;atop quietly;fussy welly disbar;apropos tape;awkward psst tempting;Velvaboro;gash eventually;intrepid so;parch;../fake-data/blob/hipster.png;image/png;"c3pH*@57yT.A";cruelly shiny n;unhealthy;tractor;ON_HOLD;3
4;yet dealing;incubate;curiously estrogen utterly;when;overlooked;South Elenora;unabashedly psychoanalyse;strident which;restfully instead instead;../fake-data/blob/hipster.png;image/png;"pb@v;8c{.}PaSYl";promptly aggres;instead prizefi;puppy hmph;BLOCKED;4
5;everlasting;pointless empty hold;locomotive confused drat;mariachi for;retrench;Bradtkeburgh;remarkable;yum;pfft uh-huh vacantly;../fake-data/blob/hipster.png;image/png;"M@E%TY.l";frilly peer-to-;cornflakes;with often slowly;PENDENT;5
6;oof;giving cavernous;memorialise lest;assemble tight blag;cautiously about;Fort Mark;whoa oregano;since silo chip;simplistic fussy;../fake-data/blob/hipster.png;image/png;"Sc@7nK.q4S05";key fob;power devoted;times ugh;INVALID;6
7;past;but tomorrow;until;unless equally advoc;story benefit equatorial;Raleighboro;to council when;zowie until;woot until;../fake-data/blob/hipster.png;image/png;"lD2/;@Wc(:hz.pR79E:";gee;feminine;when successfully;BLOCKED;7
8;phooey;emulate tremendously;planter prairie than;supposing darling em;vast;Anselboro;for drat now;succotash a hm;meh emit;../fake-data/blob/hipster.png;image/png;"h;-e9#@<L$5yU.(\+[\]";vaguely;imagination;film reassuringly times;PENDENT;8
9;throughout essential concern;because why;wave;bowed occur;pour robe;Lake Nikko;blah even meh;troubled after ;favorable wealthy yogurt;../fake-data/blob/hipster.png;image/png;"jR@z6^R$.5_Gu7";into overload;underneath aw;long;ACTIVE;9
10;politicise;very psst now;amongst once profess;ensure towards raste;as;Schinnermouth;glittering certainly;print though;anti;../fake-data/blob/hipster.png;image/png;"E0_6]p@xIPA.(?j$";er;bah uncommon;arrogantly blindly phooey;ACTIVE;10
