id;acronym;name;description;customer_business_code;business_handler_clazz;main_contact_person_details_json;billing_details_json;technical_environments_details_json;custom_attributes_details_json;logo_img;logo_img_content_type;activation_status
1;forenenst when milks;potentially before lest;by compact penalise;pout pfft;broiler;beneath;liner peak;excerpt;extrapolate modest intend;../fake-data/blob/hipster.png;image/png;INVALID
2;which;shyly delicious;whose after likely;without;vivid;from;attendance;supersized work zowie;honored shoulder;../fake-data/blob/hipster.png;image/png;BLOCKED
3;wrinkle;far-off spec;meanwhile boomerang disastrous;round after;a modulo quicker;unnaturally;unburden;oh whoever;on crown;../fake-data/blob/hipster.png;image/png;BLOCKED
4;unless;furthermore busily spatula;quoth;woeful on quick;helpfully eek hence;so around;dental corny;kookily;following than;../fake-data/blob/hipster.png;image/png;INVALID
5;blindly searchingly ;which opposite;yowza except;toss hard-hat s;finesse garland excluding;yieldingly essential;once;holiday;joyously oh;../fake-data/blob/hipster.png;image/png;ACTIVE
6;ouch;whether monstrous;dimple or;real rightfully;fooey;baggie;zany;before pfft frightened;shoe;../fake-data/blob/hipster.png;image/png;INVALID
7;linguistics dull;patience;respectful over;while;elegantly naturally;like against;vagrant;mediocre cattle truly;abide ambitious;../fake-data/blob/hipster.png;image/png;ACTIVE
8;selfishly if;why sandbar;network before poorly;weepy ick unlik;yahoo gosh;out extremely per;vineyard instead;jovially;politely;../fake-data/blob/hipster.png;image/png;ACTIVE
9;motherly;annually finally concerned;yowza which really;which meh quant;ew uh-huh serene;gingerbread lovingly;eek;conversion provided;worth;../fake-data/blob/hipster.png;image/png;ON_HOLD
10;despite;sneaky;elated;yippee meh;below;ick roughly phew;tambourine ha;kiddingly;athwart unaccountably;../fake-data/blob/hipster.png;image/png;ON_HOLD
