id;customer_business_code;fullname;custom_attributes_details_json;customer_status;activation_status;buyer_person_id
1;overcooked than;library gee yahoo;however hospitable about;WORKING;INACTIVE;1
2;ah expert;punctually;given vane harmful;UNDER_EVALUATION;ON_HOLD;2
3;unimpressively ;sack;commingle shell;IN_FAILURE;ON_HOLD;3
4;feign;absentmindedly after;when demonstrate;PENDENT;INVALID;4
5;subroutine;angrily whenever refinance;unnaturally professionalize fiercely;IN_FAILURE;BLOCKED;5
6;who overpower;joyously tape bah;greatly;IN_FAILURE;INACTIVE;6
7;cycle;noisy huzzah;chastise which hybridise;ONBOARDING;PENDENT;7
8;interwork;whereas mmm;painfully;PENDENT;ACTIVE;8
9;depress anti;hm exhaustion verbally;forecast;ONBOARDING;INVALID;9
10;ah bowtie psst;yowza shear divine;gram knottily;PENDENT;PENDENT;10
